OrderDetailID,OrderID,ProductID,Quantity,UnitPrice
1,273,16,2,3835
2,4088,105,2,1044
3,1273,16,1,3368
4,4375,42,4,3741
5,4020,3,4,3219
6,816,23,5,2083
7,4372,86,2,454
8,923,28,5,3405
9,4738,110,1,4632
10,4601,45,5,4895
11,4868,100,3,2017
12,1265,68,2,4285
13,3725,102,2,468
14,2788,24,4,3086
15,2723,19,5,1292
16,4224,75,4,1486
17,2551,40,5,4093
18,2950,46,5,3102
19,1674,40,1,1996
20,4588,62,5,2647
21,3093,110,4,4899
22,2839,119,5,1653
23,1667,103,5,2910
24,4512,117,2,3132
25,2196,18,2,211
26,1385,12,2,4172
27,4404,14,3,1163
28,3955,111,2,4297
29,2900,82,3,1492
30,61,61,3,1297
31,3948,108,4,3997
32,2291,106,2,440
33,473,12,5,2961
34,959,104,1,4391
35,533,27,5,1305
36,494,6,2,1674
37,82,88,5,3406
38,4975,115,2,4700
39,2971,33,2,1640
40,12,109,5,3684
41,4545,118,3,4153
42,762,80,4,2026
43,3186,50,4,3619
44,26,12,4,1505
45,1807,95,4,2113
46,4158,57,1,547
47,4325,101,2,1820
48,4703,53,1,3967
49,3660,13,4,4193
50,1526,72,4,133
51,761,102,5,596
52,595,3,4,3011
53,1056,64,2,1503
54,1855,84,4,3319
55,3084,58,4,2810
56,3917,4,1,1702
57,3676,108,2,4785
58,2049,45,3,4872
59,1459,66,5,3812
60,1220,115,3,3702
61,4229,36,1,4196
62,4182,23,4,2434
63,1500,109,5,1379
64,1831,19,2,3345
65,3396,40,5,149
66,1204,72,1,2764
67,4271,16,4,1874
68,2811,58,1,3688
69,3093,107,2,4146
70,3045,18,3,165
71,4674,36,4,4323
72,3515,24,4,2844
73,1799,1,1,287
74,2576,1,1,4773
75,145,64,1,4139
76,4858,62,4,2988
77,3927,110,1,4957
78,1378,36,5,766
79,3147,75,5,1032
80,1826,18,5,2070
81,794,16,4,3952
82,1602,17,1,4240
83,4415,24,2,2276
84,1111,98,1,717
85,4054,68,4,4958
86,4794,99,5,892
87,3938,79,4,1350
88,3964,2,1,4093
89,4943,120,4,2544
90,783,115,2,2422
91,1117,95,4,4333
92,1751,73,3,1450
93,2577,10,4,2930
94,4028,53,1,2375
95,3337,89,3,2306
96,4388,51,5,2017
97,1488,69,1,3934
98,3876,14,2,2177
99,3632,106,4,1221
100,4193,112,4,708
101,3959,102,1,868
102,3398,104,4,883
103,74,66,4,3029
104,1360,82,5,2489
105,1092,93,4,267
106,4854,53,4,4879
107,1942,117,5,3356
108,3149,117,4,2579
109,4304,84,5,4234
110,1245,64,2,1079
111,1286,72,4,2534
112,4506,101,1,4122
113,3037,49,3,2916
114,771,112,2,890
115,1844,90,4,4937
116,74,62,1,1574
117,1661,37,3,3286
118,4350,49,5,4101
119,820,68,4,2548
120,3819,33,5,3774
121,332,22,2,3480
122,1422,70,3,1226
123,3656,33,3,1850
124,4932,28,5,4297
125,1692,88,5,4850
126,4551,4,2,3261
127,4409,66,1,3289
128,228,77,4,851
129,2882,110,1,1332
130,4954,49,3,958
131,2866,11,4,4514
132,2576,35,2,3960
133,4523,39,1,4828
134,465,10,1,4041
135,278,107,4,2799
136,4115,74,2,2100
137,66,72,2,339
138,4263,69,1,2290
139,403,23,1,4314
140,3984,34,5,4791
141,4505,111,4,2115
142,3479,32,2,262
143,3445,16,3,4849
144,4693,68,4,449
145,4420,54,5,130
146,3040,28,4,2238
147,1438,112,1,2275
148,429,108,4,2926
149,2683,60,4,3719
150,2778,78,4,947
151,3379,76,3,891
152,393,60,5,608
153,4542,85,4,4940
154,342,112,4,4935
155,133,80,3,4432
156,265,118,2,1112
157,4189,44,4,3124
158,1686,2,4,3170
159,1435,23,2,1174
160,1661,120,4,568
161,3818,93,4,2015
162,2355,46,4,4583
163,266,107,5,835
164,4742,73,1,4849
165,1137,54,5,2956
166,4550,71,2,4577
167,4927,93,5,195
168,1391,108,5,1011
169,1113,81,3,4982
170,2235,9,2,4488
171,2867,70,2,3406
172,3069,44,2,4536
173,2180,84,5,818
174,4968,74,2,3104
175,635,73,3,1473
176,3632,12,4,2528
177,1400,97,5,3781
178,4787,32,4,2909
179,2740,34,4,3319
180,3171,83,5,2713
181,1866,33,5,604
182,1956,64,2,2365
183,4678,48,3,4160
184,2219,16,5,3084
185,1390,50,4,2896
186,4880,114,5,4026
187,3131,23,3,3908
