OrderID,CustomerID,OrderDate,TotalAmount
1,421,2024-08-24 00:00:00,36200
2,401,2023-12-23 00:00:00,21201
3,698,2023-09-13 00:00:00,21200
4,471,2023-12-19 00:00:00,27695
5,218,2025-01-01 00:00:00,7504
6,925,2024-06-04 00:00:00,21479
7,929,2024-06-07 00:00:00,5112
8,828,2025-04-16 00:00:00,35093
9,987,2025-01-25 00:00:00,28285
10,729,2024-11-24 00:00:00,4028
11,632,2023-10-11 00:00:00,18508
12,951,2023-11-08 00:00:00,48379
13,906,2023-04-09 00:00:00,34608
14,175,2023-07-16 00:00:00,5852
15,23,2024-04-26 00:00:00,12006
16,725,2025-05-27 00:00:00,27875
17,917,2023-08-14 00:00:00,33861
18,235,2025-04-24 00:00:00,8555
19,13,2024-09-06 00:00:00,18770
20,101,2024-09-09 00:00:00,3454
21,929,2023-12-31 00:00:00,33056
22,536,2024-01-03 00:00:00,0
23,876,2024-07-23 00:00:00,7089
24,523,2024-08-12 00:00:00,8411
25,785,2023-03-16 00:00:00,22976
26,452,2023-02-11 00:00:00,33060
27,431,2024-02-26 00:00:00,30387
28,793,2025-04-15 00:00:00,47189
29,606,2023-06-30 00:00:00,3580
30,713,2024-06-28 00:00:00,20867
31,533,2023-03-12 00:00:00,19668
32,852,2024-07-21 00:00:00,14981
33,979,2023-04-15 00:00:00,4814
34,723,2023-07-19 00:00:00,22254
35,652,2023-04-11 00:00:00,0
36,293,2025-02-06 00:00:00,4088
37,810,2023-11-03 00:00:00,17667
38,913,2024-08-08 00:00:00,23307
39,101,2024-11-13 00:00:00,27798
40,502,2024-01-12 00:00:00,13497
41,304,2024-10-16 00:00:00,38854
42,871,2024-11-08 00:00:00,35665
43,540,2024-02-03 00:00:00,14936
44,553,2025-02-11 00:00:00,41029
45,355,2023-08-09 00:00:00,25429
46,303,2024-08-17 00:00:00,21636
47,496,2023-07-01 00:00:00,0
48,658,2023-11-03 00:00:00,28918
49,768,2024-06-05 00:00:00,1150
50,974,2024-01-31 00:00:00,21297
51,227,2023-01-04 00:00:00,33403
52,236,2025-05-12 00:00:00,24738
53,873,2025-04-27 00:00:00,11951
54,892,2025-03-14 00:00:00,20300
55,455,2023-10-08 00:00:00,44308
56,13,2023-08-03 00:00:00,35201
57,210,2024-09-01 00:00:00,22087
58,741,2024-02-24 00:00:00,2772
59,397,2023-04-11 00:00:00,112756
60,100,2024-06-04 00:00:00,44792
61,31,2024-07-26 00:00:00,12119
62,898,2023-11-05 00:00:00,13970
63,528,2024-10-19 00:00:00,28601
64,649,2024-05-24 00:00:00,39145
65,329,2023-03-04 00:00:00,43347
66,166,2024-09-24 00:00:00,55139
67,459,2023-08-14 00:00:00,35580
68,822,2023-04-15 00:00:00,6031
69,952,2025-02-10 00:00:00,40056
70,982,2025-05-10 00:00:00,9478
71,993,2024-02-29 00:00:00,34391
72,100,2023-09-12 00:00:00,38494
73,621,2024-03-04 00:00:00,21956
74,855,2024-03-09 00:00:00,39912
75,173,2023-07-26 00:00:00,1988
76,749,2023-01-28 00:00:00,15476
77,162,2024-11-12 00:00:00,41012
78,905,2023-12-02 00:00:00,19043
